artichoke_would_throw,artichoke_expected_rancidness,artichoke_desired_rancidness,avocado_would_throw,avocado_expected_rancidness,avocado_desired_rancidness,banana_would_throw,banana_expected_rancidness,banana_desired_rancidness,brussels_sprout_would_throw,brussels_sprout_expected_rancidness,brussels_sprout_desired_rancidness,cantaloupe_would_throw,cantaloupe_expected_rancidness,cantaloupe_desired_rancidness,cauliflower_would_throw,cauliflower_expected_rancidness,cauliflower_desired_rancidness,chard_would_throw,chard_expected_rancidness,chard_desired_rancidness,crimini_mushroom_would_throw,crimini_mushroom_expected_rancidness,crimini_mushroom_desired_rancidness,golden_beet_would_throw,golden_beet_expected_rancidness,golden_beet_desired_rancidness,jalapeno_would_throw,jalapeno_expected_rancidness,jalapeno_desired_rancidness,kiwi_would_throw,kiwi_expected_rancidness,kiwi_desired_rancidness,korean_melon_would_throw,korean_melon_expected_rancidness,korean_melon_desired_rancidness,lime_would_throw,lime_expected_rancidness,lime_desired_rancidness,pear_would_throw,pear_expected_rancidness,pear_desired_rancidness,plucot_would_throw,plucot_expected_rancidness,plucot_desired_rancidness,red_grapefruit_would_throw,red_grapefruit_expected_rancidness,red_grapefruit_desired_rancidness,red_onion_would_throw,red_onion_expected_rancidness,red_onion_desired_rancidness,straightneck_squash_would_throw,straightneck_squash_expected_rancidness,straightneck_squash_desired_rancidness,strawberry_would_throw,strawberry_expected_rancidness,strawberry_desired_rancidness,tomatillo_would_throw,tomatillo_expected_rancidness,tomatillo_desired_rancidness
true,3.0,5.0,false,1.0,4.0,true,1.0,4.0,false,1.0,1.0,true,5.0,5.0,false,3.0,3.0,false,3.0,3.0,false,1.0,5.0,false,1.0,4.0,true,2.0,2.0,true,1.0,4.0,true,2.0,5.0,false,2.0,5.0,true,2.0,5.0,true,1.0,3.0,true,2.0,4.0,true,1.0,1.0,true,1.0,1.0,false,1.0,5.0,true,2.0,5.0
true,3.0,3.0,false,5.0,2.0,false,4.0,5.0,false,2.0,1.0,true,1.0,1.0,false,2.0,2.0,true,1.0,3.0,false,3.0,4.472,false,2.0,2.0,true,4.0,3.0,true,1.0,5.0,false,2.0,2.0,true,1.0,3.0,false,5.0,5.0,false,2.0,3.0,true,3.0,2.0,true,4.0,3.0,false,3.0,4.0,false,1.0,2.0,true,3.0,1.0
true,5.0,5.0,true,4.0,5.0,true,2.0,5.0,true,3.0,5.0,true,5.0,5.0,true,2.0,5.0,true,4.0,5.0,true,1.0,1.0,true,2.0,5.0,true,1.0,5.0,true,5.0,5.0,true,1.0,3.0,false,4.0,2.0,false,3.0,5.0,true,1.0,1.0,true,4.0,5.0,false,2.0,1.0,false,2.0,3.0,false,3.0,1.0,true,4.0,2.0
false,3.0,4.0,true,1.0,1.0,false,3.0,4.0,false,3.0,,true,1.0,4.0,false,2.0,4.0,false,2.0,,false,1.0,4.0,true,1.0,4.0,true,4.0,3.0,true,1.0,3.0,true,3.0,4.0,false,2.0,4.0,true,3.0,4.0,true,5.0,4.0,true,4.0,4.0,true,2.0,3.0,true,4.0,4.0,false,5.0,4.0,false,2.0,4.0
true,3.0,1.0,false,5.0,5.0,false,4.0,5.0,true,1.0,1.0,false,2.0,2.0,true,3.0,2.0,false,1.0,1.0,true,5.0,5.0,false,3.0,5.0,true,1.0,1.0,true,4.0,1.0,false,2.0,2.0,true,1.0,1.0,false,2.0,2.0,false,2.0,4.0,false,4.0,5.0,false,3.0,3.0,false,5.0,4.0,true,4.0,4.0,false,2.0,3.0
false,5.0,3.0,true,4.0,5.0,false,5.0,2.0,true,3.0,4.0,true,3.0,2.0,false,4.0,5.0,true,4.0,2.0,true,4.0,3.0,true,5.0,5.0,true,3.0,,true,5.0,5.0,false,4.0,2.0,true,5.0,5.0,true,5.0,4.0,true,4.0,3.0,true,5.0,5.0,true,2.0,,true,5.0,3.0,false,5.0,4.0,true,4.0,5.0
true,4.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0,true,5.0,5.0
true,4.0,3.0,true,5.0,5.0,false,5.0,1.0,true,2.0,4.0,true,3.0,2.0,false,2.0,2.0,false,4.0,2.0,false,,,true,2.0,4.0,false,,,false,4.0,1.0,true,4.0,2.0,true,3.0,2.0,true,4.0,4.0,true,4.0,3.0,true,4.0,4.0,true,5.0,5.0,true,4.0,3.0,false,5.0,1.0,true,4.0,5.0
true,5.0,5.0,true,5.0,,true,1.0,1.0,true,1.0,1.0,true,1.0,,true,1.0,1.0,true,5.0,5.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0
true,4.0,5.0,true,5.0,5.0,false,1.0,1.0,true,2.0,,true,2.0,4.0,true,2.0,3.0,false,1.0,1.0,false,1.0,1.0,true,2.0,4.0,true,3.0,2.0,true,4.0,5.0,true,3.0,5.0,true,2.0,1.0,true,3.0,2.0,true,3.0,2.0,true,3.0,1.0,true,2.0,4.0,true,2.0,4.0,false,1.0,1.0,true,3.0,5.0
