User ID,User display name,Timestamp,Would you throw an Artichoke?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Artichoke to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Artichoke to be?",Would you throw an Avocado?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Avocado to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Avocado to be?",Would you throw a Banana?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Banana to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Banana to be?",Would you throw a Brussels Sprout?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Brussels Sprout to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Brussels Sprout to be?",Would you throw a Cantaloupe?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Cantaloupe to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Cantaloupe to be?",Would you throw a Cauliflower?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Cauliflower to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Cauliflower to be?",Would you throw a Chard?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Chard to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Chard to be?",Would you throw a Crimini Mushroom?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Crimini Mushroom to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Crimini Mushroom to be?",Would you throw a Golden Beet?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Golden Beet to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Golden Beet to be?",Would you throw a Jalapeno?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Jalapeno to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Jalapeno to be?",Would you throw a Kiwi?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Kiwi to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Kiwi to be?",Would you throw a Korean Melon?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Korean Melon to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Korean Melon to be?",Would you throw a Lime?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Lime to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Lime to be?",Would you throw a Pear?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Pear to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Pear to be?",Would you throw a Plucot?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Plucot to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Plucot to be?",Would you throw a Red Grapefruit?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Red Grapefruit to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Red Grapefruit to be?",Would you throw a Red Onion?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Red Onion to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Red Onion to be?",Would you throw a Straightneck Squash?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Straightneck Squash to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Straightneck Squash to be?",Would you throw a Strawberry?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Strawberry to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Strawberry to be?",Would you throw a Tomatillo?,"On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid do you expect the Tomatillo to be?","On a scale of 1-5, 1 being fresh and 5 being absolutely rotten, how rancid would you want the Tomatillo to be?"
,Anonymous user,2025-09-06T15:28:09-06:00,Yes,3,5,No,1,4,Yes,1,4,No,1,1,Yes,5,5,No,3,3,No,3,3,No,1,5,No,1,4,Yes,2,2,Yes,1,4,Yes,2,5,No,2,5,Yes,2,5,Yes,1,3,Yes,2,4,Yes,1,1,Yes,1,1,No,1,5,Yes,2,5
,Anonymous user,2025-09-06T15:31:09-06:00,Yes,3,3,No,5,2,No,4,5,No,2,1,Yes,1,1,No,2,2,Yes,1,3,No,3,4.472135955,No,2,2,Yes,4,3,Yes,1,5,No,2,2,Yes,1,3,No,5,5,No,2,3,Yes,3,2,Yes,4,3,No,3,4,No,1,2,Yes,3,1
,Anonymous user,2025-09-06T15:31:13-06:00,Yes,5,5,Yes,4,5,Yes,2,5,Yes,3,5,Yes,5,5,Yes,2,5,Yes,4,5,Yes,1,1,Yes,2,5,Yes,1,5,Yes,5,5,Yes,1,3,No,4,2,No,3,5,Yes,1,1,Yes,4,5,No,2,1,No,2,3,No,3,1,Yes,4,2
,Anonymous user,2025-09-06T15:34:55-06:00,No,3,4,Yes,1,1,No,3,4,No,3,i would never throw a brussel sprout ever. too small.,Yes,1,4,No,2,4,No,2, woult never throw,No,1,4,Yes,1,4,Yes,4,3,Yes,1,3,Yes,3,4,No,2,4,Yes,3,4,Yes,5,4,Yes,4,4,Yes,2,3,Yes,4,4,No,5,4,No,2,4
,Anonymous user,2025-09-06T15:35:42-06:00,Yes,3,1,No,5,5,No,4,5,Yes,1,1,No,2,2,Yes,3,2,No,1,1,Yes,5,5,No,3,5,Yes,1,1,Yes,4,1,No,2,2,Yes,1,1,No,2,2,No,2,4,No,4,5,No,3,3,No,5,4,Yes,4,4,No,2,3
,Anonymous user,2025-09-06T15:43:39-06:00,No,5,3,Yes,4,5,No,5,2,Yes,3,4,Yes,3,2,No,4,5,Yes,4,2,Yes,4,3,Yes,5,5,Yes,3,"Doesn't matter, eyeshot",Yes,5,5,No,4,2,Yes,5,5,Yes,5,4,Yes,4,3,Yes,5,5,Yes,2,Does not matter,Yes,5,3,No,5,4,Yes,4,5
,Anonymous user,2025-09-06T15:46:34-06:00,Yes,4,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5,Yes,5,5
,Anonymous user,2025-09-06T15:48:29-06:00,Yes,4,3,Yes,5,5,No,5,1,Yes,2,4,Yes,3,2,No,2,2,No,4,2,No,N/a,N/a,Yes,2,4,No,Too tiny,Too tiny,No,4,1,Yes,4,2,Yes,3,2,Yes,4,4,Yes,4,3,Yes,4,4,Yes,5,5,Yes,4,3,No,5,1,Yes,4,5
,Anonymous user,2025-09-06T15:49:34-06:00,Yes,5,5,Yes,5,Please do not the avocado,Yes,1,1,Yes,1,1,Yes,1,I love cantaloupe,Yes,1,1,Yes,5,5,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1,Yes,1,1
,Anonymous user,2025-09-06T15:55:41-06:00,Yes,4,5,Yes,5,6,No,1,1,Yes,2,frozen,Yes,2,4,Yes,2,3,No,1,1,No,1,1,Yes,2,4,Yes,3,2,Yes,4,5,Yes,3,5,Yes,2,1,Yes,3,2,Yes,3,2,Yes,3,1,Yes,2,4,Yes,2,4,No,1,1,Yes,3,5
,Anonymous user,2025-09-06T16:03:22-06:00,No,1,1,No,1,1,No,1,1,Yes,1,1,No,1,1,Yes,1,1,Yes,1,1,Yes,1,1,No,1,1,Yes,1,1,No,1,1,No,1,1,No,1,1,No,1,1,No,1,1,No,1,1,Yes,1,1,No,1,1,Yes,1,1,Yes,1,1
,Anonymous user,2025-09-06T16:05:42-06:00,Yes,4,4,Yes,5,5,No,1,1,No,1,1,No,1,1,No,1,1,Yes,5,5,No,1,1,Yes,5,5,No,1,1,Yes,5,5,No,1,1,No,1,1,Yes,3,3,Yes,4,4,No,1,1,No,1,1,No,1,1,Yes,5,5,Yes,4,4
,Anonymous user,2025-09-06T16:07:28-06:00,Yes,2,1,No,5,1,Yes,4,5,No,1,1,Yes,5,5,Yes,2,1,No,2,2,No,2,5,Yes,2,2,No,4,3,No,5,1,Yes,2,1,Yes,1,1,No,5,5,No,5,1,Yes,2,2,Yes,3,2,Yes,1,1,No,5,2,Yes,4,4
,Anonymous user,2025-09-06T16:09:04-06:00,No,3,5,Yes,5,5,No,5,3,No,3,5,Yes,4,4,No,2,5,No,5,5,No,4,2,Yes,5,5,Yes,5,5,No,5,3,Yes,4,3,Yes,5,5,No,4,4,Yes,4,3,Yes,3,3,Yes,5,5,No,4,3,No,5,3,Yes,5,5
,Anonymous user,2025-09-06T16:11:55-06:00,No,2,4,Yes,4,5,Yes,5,5,No,3,4,No,2,3,No,2,4,No,3,3,No,1,2,Yes,2,4,Yes,1,4,Yes,4,4,No,2,4,No,1,2,Yes,5,5,Yes,5,5,No,3,3,No,1,1,Yes,3,4,Yes,4,5,No,I have never heard of this one,4
,Anonymous user,2025-09-06T16:13:09-06:00,No,3,4,No,5,3,Yes,5,5,No,2,3,No,4,4,No,3,3,No,2,2,No,4,4,No,4,4,No,2,3,Yes,5,5,No,3,3,No,3,3,Yes,4,4,No,3,3,No,3,3,No,2,2,No,3,3,No,3,3,No,3,3
,Anonymous user,2025-09-06T16:25:39-06:00,Yes,2,1,Yes,4,1,Yes,4,1,Yes,2,1,Yes,1,1,Yes,3,2,Yes,2,4,No,2,I want to eat it,Yes,1,2,No,2,5,Yes,2,1,Yes,3,1,Yes,3,2,Yes,5,2,Yes,4,3,Yes,5,1,Yes,3,1,Yes,1,5,No,2,1,Yes,1,4
,Anonymous user,2025-09-06T16:25:40-06:00,Yes,2,4,No,2,5,No,5,5,Yes,3,2,Yes,1,1,No,2,5,No,3,5,No,5,5,Yes,2,1,Yes,3,3,Yes,2,2,Yes,1,1,No,2,1,Yes,5,2,No,4,3,No,2,3,Yes,4,5,Yes,4,2,No,5,5,No,3,5
,Anonymous user,2025-09-06T16:42:20-06:00,Yes,5,4,No,2,2,Yes,5,5,No,3,3,Yes,5,5,No,1,1,No,1,1,No,1,1,Yes,5,5,Yes,5,5,Yes,5,4,Yes,5,5,No,1,1,No,1,1,Yes,5,5,Yes,5,5,Yes,5,4,Yes,5,5,Yes,3,3,No,1,1
